zip,lat,lng,city,state_id,state_name,population,density,county_fips,county_name,timezone
65203,38.89497,-92.39928,Columbia,MO,Missouri,59673,308.6,29019,Boone,America/Chicago
65807,37.166,-93.32483,Springfield,MO,Missouri,55384,1017.5,29077,Greene,America/Chicago
66062,38.83677,-94.78455,Olathe,KS,Kansas,77312,709.6,20091,Johnson,America/Chicago
66212,38.9563,-94.68154,Overland Park,KS,Kansas,32806,1666.7,20091,Johnson,America/Chicago
66502,39.14146,-96.52906,Manhattan,KS,Kansas,44813,78.0,20161,Riley,America/Chicago
97206,45.48173,-122.5988,Portland,OR,Oregon,51062,3055.7,41051,Multnomah,America/Los_Angeles
97224,45.40568,-122.7958,Portland,OR,Oregon,36591,1561.4,41067,Washington,America/Los_Angeles
97301,44.94948,-123.00439,Salem,OR,Oregon,55386,1891.6,41047,Marion,America/Los_Angeles
97405,43.95528,-123.167,Eugene,OR,Oregon,46695,139.6,41039,Lane,America/Los_Angeles
85635,31.55322,-110.17304,Sierra Vista,AZ,Arizona,35516,201.5,04003,Cochise,America/Phoenix
85705,32.27119,-110.99172,Tucson,AZ,Arizona,56344,1596.6,04019,Pima,America/Phoenix
86442,35.09139,-114.57731,Bullhead City,AZ,Arizona,34071,467.1,04015,Mohave,America/Phoenix
87105,34.99512,-106.68644,Albuquerque,NM,New Mexico,55295,531.5,35001,Bernalillo,America/Denver
87124,35.27144,-106.79627,Rio Rancho,NM,New Mexico,57239,283.5,35043,Sandoval,America/Denver
87401,36.73824,-108.18377,Farmington,NM,New Mexico,46398,134.9,35045,San Juan,America/Denver
87505,35.62307,-105.86891,Santa Fe,NM,New Mexico,31857,188.9,35049,Santa Fe,America/Denver
61761,40.52503,-88.95152,Normal,IL,Illinois,53423,484.6,17113,McLean,America/Chicago
61821,40.11041,-88.27611,Champaign,IL,Illinois,29072,1459.1,17019,Champaign,America/Chicago
61832,40.13186,-87.63256,Danville,IL,Illinois,32631,461.0,17183,Vermilion,America/Chicago
67212,37.70247,-97.43658,Wichita,KS,Kansas,44171,1362.0,20173,Sedgwick,America/Chicago
67846,38.02311,-100.77756,Garden City,KS,Kansas,34584,17.1,20055,Finney,America/Chicago
68025,41.43749,-96.49158,Fremont,NE,Nebraska,31304,97.5,31053,Dodge,America/Chicago
68104,41.29525,-96.00104,Omaha,NE,Nebraska,37834,2214.3,31055,Douglas,America/Chicago
68701,42.02024,-97.44099,Norfolk,NE,Nebraska,31116,63.7,31119,Madison,America/Chicago
68801,40.94949,-98.29295,Grand Island,NE,Nebraska,30277,129.9,31079,Hall,America/Chicago
70065,30.02767,-90.25405,Kenner,LA,Louisiana,50210,2411.0,22051,Jefferson,America/Chicago
70506,30.19586,-92.08075,Lafayette,LA,Louisiana,39926,742.5,22055,Lafayette,America/Chicago
62301,39.93139,-91.38741,Quincy,IL,Illinois,30944,1069.6,17001,Adams,America/Chicago
53081,43.71343,-87.73725,Sheboygan,WI,Wisconsin,43042,712.8,55117,Sheboygan,America/Chicago
53132,42.88589,-88.01063,Franklin,WI,Wisconsin,36094,401.5,55079,Milwaukee,America/Chicago
53142,42.54464,-87.93765,Kenosha,WI,Wisconsin,33701,629.1,55059,Kenosha,America/Chicago
53186,43.02305,-88.20319,Waukesha,WI,Wisconsin,33672,1032.6,55133,Waukesha,America/Chicago
53209,43.12871,-87.94717,Milwaukee,WI,Wisconsin,46441,1646.6,55079,Milwaukee,America/Chicago
53214,43.02061,-88.01634,Milwaukee,WI,Wisconsin,34892,1886.5,55079,Milwaukee,America/Chicago
53711,43.01521,-89.40641,Madison,WI,Wisconsin,49749,740.2,55025,Dane,America/Chicago
21215,39.34578,-76.68367,Baltimore,MD,Maryland,53674,3042.4,24510,Baltimore,America/New_York
21740,39.63233,-77.73902,Hagerstown,MD,Maryland,62760,341.9,24043,Washington,America/New_York
22153,38.74443,-77.23451,Springfield,VA,Virginia,32546,1418.6,51059,Fairfax,America/New_York
22204,38.86076,-77.09894,Arlington,VA,Virginia,52359,4908.5,51013,Arlington,America/New_York
22304,38.81361,-77.11498,Alexandria,VA,Virginia,49711,3960.4,51510,Alexandria,America/New_York
